Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
73,1,100,0
149,1,100,0
208,1,100,0
265,1,100,0
333,1,100,0
397,1,100,0
460,1,100,0
517,1,100,0
582,1,100,0
647,1,100,0
710,1,100,0
773,1,100,0
838,1,100,0
901,1,100,0
964,1,100,0
1027,1,100,0
1106,1,100,0
1172,1,100,0
1245,1,100,0
1317,1,100,0
1380,1,100,0
1457,1,100,0
1527,1,100,0
1587,1,100,0
1646,1,100,0
1761,1,100,0
1822,1,100,0
1884,1,100,0
1951,1,100,0
2010,1,100,0
2076,1,100,0
2136,1,100,0
2202,1,100,0
2263,1,100,0
2330,1,100,0
2391,1,100,0
2452,1,100,0
2517,1,100,0
2582,1,100,0
2656,1,100,0
2723,1,100,0
2786,1,100,0
2849,1,100,0
2913,1,100,0
2977,1,100,0
3040,1,100,0
3104,1,100,0
3186,1,100,0
3247,1,100,0
3311,1,100,0
3375,1,100,0
3447,1,100,0
3505,1,100,0
3568,1,100,0
3638,1,100,0
3702,1,100,0
3761,1,100,0
3823,1,100,0
3895,1,100,0
3968,1,100,0
4029,1,100,0
4091,1,100,0
4156,1,100,0
4218,1,100,0
4281,1,100,0
4344,1,100,0
4406,1,100,0
4494,1,100,0
4551,1,100,0
4616,1,100,0
4678,1,100,0
4741,1,100,0
4833,1,100,0
4887,1,100,0
4954,1,100,0
5060,1,100,0
5123,1,100,0
5189,1,100,0
5258,1,100,0
5318,1,100,0
5381,1,100,0
5447,1,100,0
5507,1,100,0
5572,1,100,0
5637,1,100,0
5700,1,100,0
5764,1,100,0
5826,1,100,0
5892,1,100,0
5951,1,100,0
6015,1,100,0
6079,1,100,0
6143,1,100,0
6206,1,100,0
6269,1,100,0
6332,1,100,0
6396,1,100,0
6479,1,100,0
6539,1,100,0
6602,1,100,0
6666,1,100,0
6733,1,100,0
6795,1,100,0
6854,1,100,0
6926,1,100,0
6982,1,100,0
7044,1,100,0
7108,1,100,0
7172,1,100,0
7234,1,100,0
7295,1,100,0
7360,1,100,0
7423,1,100,0
7486,1,100,0
7550,1,100,0
7614,1,100,0
7678,1,100,0
7742,1,100,0
7805,1,100,0
7868,1,100,0
7932,1,100,0
7997,1,100,0
8058,1,100,0
8122,1,100,0
8186,1,100,0
8249,1,100,0
8313,1,100,0
8377,1,100,0
8441,1,100,0
8505,1,100,0
8568,1,100,0
8632,1,100,0
8695,1,100,0
8759,1,100,0
8822,1,100,0
8889,1,100,0
8951,1,100,0
9013,1,100,0
9076,1,100,0
9139,1,100,0
9202,1,100,0
9264,1,100,0
9328,1,100,0
9391,1,100,0
9454,1,100,0
9519,1,100,0
9581,1,100,0
9645,1,100,0
9709,1,100,0
9773,1,100,0
9839,1,100,0
9900,1,100,0
9965,1,100,0
10028,1,100,0
10091,1,100,0
10154,1,100,0
10217,1,100,0
10280,1,100,0
10344,1,100,0
10408,1,100,0
10471,1,100,0
10535,1,100,0
10599,1,100,0
10662,1,100,0
10726,1,100,0
10790,1,100,0
10853,1,100,0
10917,1,100,0
10981,1,100,0
11044,1,100,0
11108,1,100,0
11172,1,100,0
11236,1,100,0
11300,1,100,0
11364,1,100,0
11428,1,100,0
11493,1,100,0
11556,1,100,0
11618,1,100,0
11682,1,100,0
11745,1,100,0
11809,1,100,0
11873,1,100,0
11937,1,100,0
11999,2,100,0
12065,2,100,0
12127,2,100,0
12191,3,100,0
12252,3,100,0
12316,3,100,0
12380,3,100,0
12444,3,100,0
12508,3,100,0
12573,3,100,0
12635,3,100,0
12699,3,100,0
12763,3,100,0
12827,3,100,0
12897,3,100,0
12952,3,100,0
13017,3,100,0
13081,2,100,0
13144,2,100,0
13206,2,100,0
13269,2,100,0
13333,2,100,0
13397,2,100,0
13460,2,100,0
13525,2,100,0
13589,2,100,0
13651,2,100,0
13714,2,100,0
13779,2,100,0
13842,2,100,0
13907,2,100,0
13967,2,100,0
14031,2,100,0
14095,2,100,0
14157,2,100,0
14221,2,100,0
14285,2,100,0
14349,2,100,0
14413,2,100,0
14477,2,100,0
14540,2,100,0
14605,1,100,0
14668,1,100,0
14731,1,100,0
14794,1,100,0
14858,1,100,0
14923,1,100,0
14986,1,100,0
15051,1,100,0
15115,1,100,0
15176,1,100,0
15240,1,100,0
15301,1,100,0
15366,1,100,0
15431,1,100,0
15494,1,100,0
15558,1,100,0
15622,1,100,0
15684,1,100,0
15748,1,100,0
15812,1,100,0
15875,1,100,0
15938,1,100,0
16002,1,100,0
16064,1,100,0
16128,1,100,0
16192,1,100,0
16255,1,100,0
16319,1,100,0
16383,1,100,0
16447,1,100,0
16511,1,100,0
16574,1,100,0
16638,1,100,0
16702,1,100,0
16766,1,100,0
16830,1,100,0
16893,1,100,0
16957,1,100,0
17021,2,100,0
17085,2,100,0
17148,2,100,0
17212,3,100,0
17275,3,100,0
17338,3,100,0
17402,3,100,0
17466,3,100,0
17530,3,100,0
17593,3,100,0
17656,3,100,0
17721,3,100,0
17784,3,100,0
17847,3,100,0
17911,3,100,0
17975,3,100,0
18037,3,100,0
18101,3,100,0
18166,3,100,0
18229,3,100,0
18292,3,100,0
18356,3,100,0
18419,3,100,0
18483,3,100,0
18546,3,100,0
18610,3,100,0
18674,3,100,0
18737,3,100,0
18802,3,100,0
18863,3,100,0
18926,3,100,0
18990,3,100,0
19054,3,100,0
19119,3,100,0
19183,3,100,0
19245,3,100,0
19310,3,100,0
19372,3,100,0
19436,3,100,0
19500,3,100,0
19563,3,100,0
19627,3,100,0
19692,3,100,0
19754,3,100,0
19818,3,100,0
19882,3,100,0
19945,3,100,0
20009,3,100,0
20073,3,100,0
20136,3,100,0
20200,3,100,0
20263,3,100,0
20327,3,100,0
20390,3,100,0
20454,3,100,0
20517,3,100,0
20581,3,100,0
20644,3,100,0
20707,3,100,0
20771,3,100,0
20835,3,100,0
20898,3,100,0
20961,3,100,0
21025,3,100,0
21086,3,100,0
21150,3,100,0
21213,3,100,0
21276,3,100,0
21339,3,100,0
21403,3,100,0
21466,3,100,0
21530,3,100,0
21594,3,100,0
21657,3,100,0
21721,3,100,0
21785,3,100,0
21848,3,100,0
21912,3,100,0
21976,3,100,0
22039,3,100,0
22103,3,100,0
22166,3,100,0
22234,5,100,0
22295,5,100,0
22357,5,100,0
22422,5,100,0
22485,5,100,0
22548,5,100,0
22612,5,100,0
22676,5,100,0
22739,5,100,0
22803,5,100,0
22867,5,100,0
22932,5,100,0
22995,5,100,0
23058,5,100,0
23120,5,100,0
23207,5,100,0
23267,5,100,0
23332,5,100,0
23390,5,100,0
23452,5,100,0
23515,5,100,0
23580,5,100,0
23647,5,100,0
23706,5,100,0
23769,5,100,0
23833,5,100,0
23895,5,100,0
23959,5,100,0
24023,5,100,0
24086,5,100,0
24149,5,100,0
24213,5,100,0
24277,5,100,0
24340,5,100,0
24404,5,100,0
24468,5,100,0
24532,5,100,0
24595,5,100,0
24659,5,100,0
24722,5,100,0
24784,5,100,0
24846,5,100,0
24910,5,100,0
24975,5,100,0
25037,5,100,0
25101,5,100,0
25164,5,100,0
25228,5,100,0
25292,5,100,0
25356,5,100,0
25419,5,100,0
25482,5,100,0
25546,5,100,0
25610,5,100,0
25673,5,100,0
25738,5,100,0
25801,5,100,0
25863,5,100,0
25927,5,100,0
25991,5,100,0
26054,5,100,0
26118,5,100,0
26182,5,100,0
26246,5,100,0
26310,5,100,0
26373,5,100,0
26437,5,100,0
26501,5,100,0
26564,5,100,0
26630,5,100,0
26693,5,100,0
26756,5,100,0
26819,5,100,0
26883,5,100,0
26946,5,100,0
27010,5,100,0
27075,5,100,0
27137,5,100,0
27200,4,100,0
27265,5,100,0
27328,5,100,0
27392,5,99,1
27456,5,99,1
27518,5,99,1
27582,5,99,1
27644,5,99,1
27707,5,99,1
27770,5,99,1
27833,5,99,1
27896,5,99,1
27960,5,99,1
28024,5,99,1
28086,5,99,1
28150,5,99,1
28214,5,99,1
28277,5,99,1
28341,5,99,1
28405,5,99,1
28468,5,99,1
28531,5,99,1
28595,5,99,1
28658,5,99,1
28722,5,99,1
28787,5,99,1
28851,5,99,1
28915,5,99,1
28978,5,99,1
29042,4,99,1
29150,4,99,1
29216,4,99,1
29279,4,99,1
29343,4,99,1
29406,4,99,1
29470,4,99,1
29533,4,99,1
29598,4,99,1
29662,4,99,1
29724,4,99,1
29786,4,99,1
29850,4,99,1
29914,4,99,1
29977,4,99,1
30041,4,99,1
30105,4,99,1
30169,4,99,1
30248,4,99,1
30312,4,99,1
30376,4,99,1
30439,4,99,1
30502,4,99,1
30566,4,99,1
30630,4,99,1
30693,4,99,1
30757,4,99,1
30821,4,99,1
30884,4,99,1
30948,4,99,1
31014,4,99,1
31073,4,99,1
31137,4,99,1
31200,4,99,1
31266,4,99,1
31324,4,99,1
31387,4,99,1
31451,4,99,1
31514,4,99,1
31577,4,99,1
31641,4,99,1
31705,4,99,1
31767,4,99,1
31831,4,99,1
31895,4,99,1
31958,4,99,1
32022,4,99,1
32086,4,99,1
32149,4,99,1
32213,4,99,1
32277,5,99,1
32339,5,99,1
32401,5,99,1
32466,4,98,2
32529,4,98,2
32592,3,98,2
32656,3,98,2
32720,3,98,2
32785,3,98,2
32846,3,98,2
32910,3,98,2
32973,3,98,2
33037,3,98,2
33104,3,98,2
33167,3,98,2
33228,3,98,2
33290,3,98,2
33354,3,98,2
33418,3,98,2
33482,3,98,2
33545,3,98,2
33609,3,98,2
33672,3,98,2
33735,3,98,2
33799,3,98,2
33862,3,98,2
33926,3,98,2
33989,3,98,2
34052,3,98,2
34116,3,98,2
34180,3,98,2
34244,3,98,2
34309,3,98,2
34372,3,98,2
34436,3,98,2
34499,3,98,2
34562,3,98,2
34626,3,98,2
34690,3,98,2
34753,3,98,2
34816,3,98,2
34880,3,98,2
34943,3,98,2
35007,3,98,2
35071,3,98,2
35135,3,98,2
35198,3,98,2
35262,3,98,2
35329,3,98,2
35388,3,98,2
35452,3,98,2
35516,3,98,2
35579,3,98,2
35645,3,98,2
35706,3,98,2
35770,3,98,2
35833,3,98,2
35896,3,98,2
35961,3,98,2
36025,3,98,2
36087,3,98,2
36151,3,98,2
36215,3,98,2
36278,3,98,2
36342,3,98,2
36406,3,98,2
36486,3,98,2
36549,3,98,2
36613,3,98,2
36676,3,98,2
36740,3,98,2
36804,3,98,2
36868,3,98,2
36932,3,98,2
36995,3,98,2
37059,3,98,2
37124,3,98,2
37224,3,98,2
37285,3,98,2
37341,4,98,2
37404,4,98,2
37469,4,98,2
37532,5,98,2
37595,5,98,2
37661,5,97,3
37722,4,97,3
37785,4,97,3
37848,4,97,3
37912,4,97,3
37976,4,97,3
38040,4,97,3
38103,4,97,3
38167,4,97,3
38231,4,97,3
38294,4,97,3
38359,4,97,3
38423,4,97,3
38486,4,97,3
38550,4,97,3
38614,4,97,3
38678,4,97,3
38739,4,97,3
38805,4,97,3
38867,4,97,3
38930,4,97,3
38993,4,97,3
39056,4,97,3
39120,4,97,3
39185,4,97,3
39246,4,97,3
39310,4,97,3
39372,4,97,3
39435,4,97,3
39499,4,97,3
39567,4,97,3
39626,4,97,3
39691,4,97,3
39751,4,97,3
39815,4,97,3
39879,4,97,3
39942,4,97,3
40006,4,97,3
40069,4,97,3
40133,4,97,3
40197,4,97,3
40260,4,97,3
40322,4,97,3
40386,4,97,3
40451,4,97,3
40514,4,97,3
40577,4,97,3
40641,4,97,3
40704,4,97,3
40768,4,97,3
40832,4,97,3
40895,4,97,3
40960,4,97,3
41024,4,97,3
41087,4,97,3
41153,4,97,3
41215,4,97,3
41279,4,97,3
41342,4,97,3
41405,4,97,3
41468,4,97,3
41532,4,97,3
41596,4,97,3
41659,4,97,3
41723,4,97,3
41787,3,97,3
41851,3,97,3
41914,3,97,3
41977,3,97,3
42041,3,97,3
42105,3,97,3
42168,3,97,3
42232,3,97,3
42296,3,97,3
42360,3,97,3
42424,3,97,3
42488,3,97,3
42552,4,97,3
42615,4,97,3
42679,4,96,4
42743,3,96,4
