Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
89,1,100,0
224,1,100,0
336,1,100,0
392,1,100,0
479,1,100,0
538,1,100,0
701,1,100,0
770,1,100,0
863,1,100,0
930,1,100,0
1004,1,100,0
1095,1,100,0
1161,1,100,0
1217,1,100,0
1292,1,100,0
1369,1,100,0
1433,1,100,0
1484,1,100,0
1598,1,100,0
1671,1,100,0
1727,1,100,0
1801,1,100,0
1884,1,100,0
1948,1,100,0
2031,1,100,0
2117,1,100,0
2195,1,100,0
2267,1,100,0
2331,1,100,0
2408,1,100,0
2478,1,100,0
2535,1,100,0
2628,1,100,0
2706,1,100,0
2780,1,100,0
2848,1,100,0
2932,1,100,0
3005,1,100,0
3082,1,100,0
3150,1,100,0
3213,1,100,0
3280,1,100,0
3345,1,100,0
3405,1,100,0
3469,1,100,0
3537,1,100,0
3595,1,100,0
3661,1,100,0
3727,1,100,0
3790,1,100,0
3847,1,100,0
3912,1,100,0
3976,1,100,0
4037,1,100,0
4101,1,100,0
4165,1,100,0
4242,1,100,0
4313,1,100,0
4371,1,100,0
4434,1,100,0
4498,1,100,0
4563,1,100,0
4626,1,100,0
4689,1,100,0
4753,1,100,0
4816,1,100,0
4880,1,100,0
4943,1,100,0
5007,1,100,0
5069,1,100,0
5133,1,100,0
5211,1,100,0
5275,1,100,0
5341,1,100,0
5403,1,100,0
5467,1,100,0
5530,1,100,0
5593,1,100,0
5660,1,100,0
5722,1,100,0
5787,1,100,0
5847,1,100,0
5916,1,100,0
5977,1,100,0
6038,1,100,0
6105,1,100,0
6165,1,100,0
6228,1,100,0
6291,1,100,0
6353,1,100,0
6421,1,100,0
6482,1,100,0
6544,1,100,0
6607,1,100,0
6678,1,100,0
6736,1,100,0
6799,1,100,0
6864,1,100,0
6928,1,100,0
6999,1,100,0
7071,1,100,0
7148,1,100,0
7212,1,100,0
7275,1,100,0
7345,1,100,0
7414,1,100,0
7481,1,100,0
7547,1,100,0
7605,1,100,0
7677,1,100,0
7741,1,100,0
7805,1,100,0
7863,1,100,0
7920,1,100,0
7990,1,100,0
8050,1,100,0
8117,1,100,0
8182,1,100,0
8253,1,100,0
8317,1,100,0
8380,1,100,0
8445,1,100,0
8535,1,100,0
8602,1,100,0
8665,1,100,0
8727,1,100,0
8792,1,100,0
8853,1,100,0
8917,1,100,0
8981,1,100,0
9044,1,100,0
9111,1,100,0
9174,1,100,0
9235,1,100,0
9298,1,100,0
9363,1,100,0
9427,1,100,0
9490,1,100,0
9557,1,100,0
9620,1,100,0
9696,1,100,0
9763,1,100,0
9822,1,100,0
9888,1,100,0
9961,1,100,0
10014,1,100,0
10078,1,100,0
10140,1,100,0
10204,1,100,0
10268,1,100,0
10331,1,100,0
10395,1,100,0
10458,1,100,0
10521,1,100,0
10586,1,100,0
10650,1,100,0
10713,1,100,0
10778,1,100,0
10842,1,100,0
10904,1,100,0
10970,1,100,0
11032,1,100,0
11096,1,100,0
11159,1,100,0
11221,1,100,0
11286,1,100,0
11366,1,100,0
11431,1,100,0
