Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
97,1,100,0
174,1,100,0
227,1,100,0
291,1,100,0
359,1,100,0
421,1,100,0
484,1,100,0
545,1,100,0
611,1,100,0
670,1,100,0
740,1,100,0
796,1,100,0
860,1,100,0
924,1,100,0
989,1,100,0
1057,1,100,0
1126,1,100,0
1180,1,100,0
1252,1,100,0
1337,1,100,0
1406,1,100,0
1480,1,100,0
1601,1,100,0
1658,1,100,0
1724,1,100,0
1788,1,100,0
1854,1,100,0
1914,1,100,0
1977,1,100,0
2042,1,100,0
2104,1,100,0
2175,1,100,0
2262,1,100,0
2336,1,100,0
2410,1,100,0
2489,1,100,0
2563,1,100,0
2639,1,100,0
2704,1,100,0
2767,1,100,0
2829,1,100,0
2894,1,100,0
2956,1,100,0
3022,1,100,0
3084,1,100,0
3150,1,100,0
3211,1,100,0
3273,1,100,0
3345,1,100,0
3406,1,100,0
3462,1,100,0
3525,1,100,0
3590,1,100,0
3654,1,100,0
3719,1,100,0
3780,1,100,0
3844,1,100,0
3907,1,100,0
3971,1,100,0
4039,1,100,0
4099,1,100,0
4186,1,100,0
4241,1,100,0
4307,1,100,0
4374,1,100,0
4428,1,100,0
4517,1,100,0
4569,1,100,0
4636,1,100,0
4698,1,100,0
4762,1,100,0
4824,1,100,0
4910,1,100,0
4965,1,100,0
5029,1,100,0
5092,1,100,0
5156,1,100,0
5221,1,100,0
5282,1,100,0
5347,1,100,0
5410,1,100,0
5480,1,100,0
5538,1,100,0
5603,1,100,0
5672,1,100,0
5729,1,100,0
5791,1,100,0
5854,1,100,0
5918,1,100,0
5984,1,100,0
6047,1,100,0
6108,1,100,0
6200,1,100,0
6271,1,100,0
6339,1,100,0
6393,1,100,0
6457,1,100,0
6521,1,100,0
6606,1,100,0
6664,1,100,0
6728,1,100,0
6791,1,100,0
6855,1,100,0
6917,1,100,0
6980,1,100,0
7043,1,100,0
7106,1,100,0
7168,1,100,0
7233,1,100,0
7296,1,100,0
7360,1,100,0
7422,1,100,0
7486,1,100,0
7553,1,100,0
7612,1,100,0
7677,1,100,0
7742,1,100,0
7804,1,100,0
7869,1,100,0
7932,1,100,0
7997,1,100,0
8058,1,100,0
8121,1,100,0
8187,1,100,0
8248,1,100,0
8312,1,100,0
8378,1,100,0
8510,1,100,0
8566,1,100,0
8629,1,100,0
8692,1,100,0
8755,1,100,0
8819,1,100,0
8882,1,100,0
8944,1,100,0
9009,1,100,0
9073,1,100,0
9139,1,100,0
9248,1,100,0
9329,1,100,0
9391,1,100,0
9461,1,100,0
9554,1,100,0
9621,1,100,0
9685,1,100,0
9744,1,100,0
9805,1,100,0
9864,1,100,0
9932,1,100,0
9991,1,100,0
10056,1,100,0
10121,1,100,0
10182,1,100,0
10300,1,100,0
10355,1,100,0
10418,1,100,0
10483,1,100,0
10545,1,100,0
10608,1,100,0
10672,1,100,0
10736,1,100,0
10800,1,100,0
10861,1,100,0
10927,1,100,0
10991,1,100,0
11053,1,100,0
11117,1,100,0
11179,1,100,0
11242,1,100,0
11306,1,100,0
11370,1,100,0
11434,1,100,0
11496,1,100,0
11560,1,100,0
11625,1,100,0
11687,1,100,0
11750,1,100,0
11822,1,100,0
11877,1,100,0
11940,1,100,0
12003,1,100,0
12067,1,100,0
12130,1,100,0
12194,1,100,0
12257,1,100,0
12321,1,100,0
12386,1,100,0
12448,1,100,0
12512,1,100,0
12580,1,100,0
12640,1,100,0
12704,1,100,0
12768,1,100,0
12832,1,100,0
12895,1,100,0
12958,1,100,0
13022,1,100,0
13086,1,100,0
13147,1,100,0
13211,1,100,0
13275,1,100,0
13339,1,100,0
13403,1,100,0
13465,1,100,0
13529,1,100,0
13591,1,100,0
13655,1,100,0
13718,1,100,0
13783,1,100,0
13845,1,100,0
13909,1,100,0
14007,1,100,0
14067,1,100,0
14129,1,100,0
14193,1,100,0
14256,1,100,0
14321,1,100,0
14386,1,100,0
14448,1,100,0
14511,1,100,0
14575,1,100,0
14640,1,100,0
14704,1,100,0
14766,2,100,0
14830,2,100,0
14894,2,100,0
14956,3,100,0
15019,3,100,0
15088,3,100,0
15175,4,100,0
15227,4,100,0
15290,4,100,0
15359,4,100,0
15416,4,100,0
15480,3,100,0
15545,3,100,0
15607,3,100,0
15728,3,100,0
15812,3,100,0
15892,3,100,0
15961,2,100,0
16018,2,100,0
16079,2,100,0
16142,2,100,0
16206,2,100,0
16268,2,100,0
16332,2,100,0
16396,2,100,0
16458,2,100,0
16522,2,100,0
16585,2,100,0
16648,2,100,0
16712,2,100,0
16776,2,100,0
16841,2,100,0
16906,2,100,0
16968,2,100,0
17032,2,100,0
17096,2,100,0
17161,2,100,0
17223,2,100,0
17287,2,100,0
17353,2,100,0
17414,2,100,0
17477,2,100,0
17541,2,100,0
17604,2,100,0
17667,2,100,0
17731,2,100,0
17794,2,100,0
17858,2,100,0
17921,2,100,0
18003,2,100,0
18063,2,100,0
18127,2,100,0
18191,2,100,0
18255,2,100,0
18318,2,100,0
18382,2,100,0
18444,2,100,0
18507,2,100,0
18571,2,100,0
18636,2,100,0
18697,2,100,0
18761,2,100,0
18825,2,100,0
18891,2,100,0
18958,2,100,0
19022,2,100,0
19081,2,100,0
19144,2,100,0
19206,2,100,0
19270,2,100,0
19334,2,100,0
19399,2,100,0
19462,2,100,0
19524,2,100,0
19588,2,100,0
19655,2,100,0
19714,2,100,0
19777,2,100,0
19842,2,100,0
19906,2,100,0
19976,3,100,0
20031,3,100,0
20094,3,100,0
20160,3,100,0
20224,3,100,0
20282,4,100,0
20345,4,100,0
20410,4,100,0
20475,4,100,0
20539,4,100,0
20602,4,100,0
20664,3,100,0
20728,3,100,0
20792,3,100,0
20855,3,100,0
20918,3,100,0
20981,3,100,0
21045,3,100,0
21108,3,100,0
21173,3,100,0
21237,3,100,0
21300,3,100,0
21364,3,100,0
21472,3,100,0
21562,3,100,0
21626,3,100,0
21681,2,100,0
21743,2,100,0
21805,2,100,0
21870,2,100,0
21935,2,100,0
21997,2,100,0
22059,2,100,0
22124,2,100,0
22185,2,100,0
22247,2,100,0
22309,2,100,0
22370,2,100,0
22434,2,100,0
22498,2,100,0
22561,2,100,0
22625,2,100,0
22690,2,100,0
22752,2,100,0
22816,2,100,0
22880,2,100,0
22944,2,100,0
23007,2,100,0
23070,2,100,0
23135,2,100,0
23199,2,100,0
23260,2,100,0
23323,2,100,0
23386,2,100,0
23449,2,100,0
23511,2,100,0
23574,2,100,0
23639,2,100,0
23704,2,100,0
23765,2,100,0
23829,2,100,0
23892,2,100,0
23957,2,100,0
24023,2,100,0
24084,2,100,0
24148,2,100,0
24215,2,100,0
24275,2,100,0
24338,2,100,0
24403,2,100,0
24466,2,100,0
24530,2,100,0
24592,2,100,0
24656,2,100,0
24723,2,100,0
24782,2,100,0
24845,2,100,0
24910,2,100,0
24972,2,100,0
25036,3,100,0
25098,3,100,0
25162,3,100,0
25229,4,100,0
25288,4,100,0
25360,5,100,0
25429,5,100,0
25494,6,100,0
25555,6,100,0
25625,6,100,0
25684,6,100,0
25747,6,100,0
25808,7,100,0
25870,7,100,0
25931,7,100,0
25995,7,100,0
26059,7,100,0
26125,7,100,0
26191,7,100,0
26251,7,100,0
26314,7,100,0
26377,7,100,0
26440,7,100,0
26505,7,100,0
26566,7,100,0
26630,7,100,0
26695,7,100,0
26758,7,100,0
26822,7,100,0
26886,7,100,0
26949,7,100,0
27013,7,100,0
27076,7,100,0
27140,7,100,0
27204,7,100,0
27266,7,100,0
27330,7,100,0
27394,7,100,0
27458,7,100,0
27522,7,100,0
27583,6,100,0
27647,6,100,0
27710,6,100,0
27786,6,100,0
27854,6,100,0
27914,6,100,0
27977,6,100,0
28042,6,100,0
28106,6,100,0
28167,6,100,0
28230,6,100,0
28293,6,100,0
28356,6,100,0
28420,6,100,0
28484,6,100,0
28548,6,100,0
28611,6,100,0
28674,6,100,0
28738,6,100,0
28802,6,100,0
28865,6,100,0
28927,6,100,0
28991,6,100,0
29054,6,100,0
29119,6,100,0
29182,6,100,0
29246,6,100,0
29311,6,100,0
29378,6,100,0
29519,6,100,0
29582,6,100,0
29647,6,100,0
29709,6,100,0
29775,6,100,0
29840,6,100,0
29899,6,100,0
29963,6,100,0
30028,6,100,0
30091,6,100,0
30168,6,100,0
30241,6,100,0
30310,6,100,0
30373,6,100,0
30438,6,100,0
30499,7,100,0
30564,7,100,0
30622,7,100,0
30686,7,100,0
30749,7,100,0
30813,9,100,0
30876,9,100,0
30940,9,100,0
31003,9,100,0
31067,9,100,0
31129,9,100,0
31194,9,100,0
31257,9,100,0
31327,9,100,0
31385,9,100,0
31449,9,100,0
31511,9,100,0
31574,9,100,0
31637,9,100,0
31707,9,100,0
31766,9,100,0
31828,9,100,0
31891,9,100,0
31954,9,100,0
32020,9,100,0
32081,9,100,0
32147,9,100,0
32232,9,100,0
32291,9,100,0
32350,9,100,0
32412,9,100,0
32475,9,100,0
32538,9,100,0
32604,9,100,0
32665,9,100,0
32729,9,100,0
32791,9,100,0
32854,9,100,0
32917,9,100,0
32981,9,100,0
33044,9,100,0
33107,9,100,0
33170,9,100,0
33235,9,100,0
33296,9,100,0
33359,9,100,0
33423,9,100,0
33486,9,100,0
33549,9,100,0
33613,9,100,0
33676,9,100,0
33740,9,100,0
33804,9,100,0
33865,7,100,0
33931,7,100,0
33991,6,100,0
34056,6,100,0
34120,6,100,0
34182,6,100,0
34245,6,100,0
34309,6,100,0
34399,6,100,0
34456,6,100,0
34516,6,100,0
34577,6,100,0
34641,6,100,0
34704,6,100,0
34769,6,100,0
34831,6,100,0
34895,6,100,0
34959,6,100,0
35021,6,100,0
35084,6,100,0
35148,6,100,0
35211,6,100,0
35274,6,100,0
35337,6,100,0
35401,6,100,0
35463,6,100,0
35527,6,100,0
35590,6,100,0
35653,5,99,1
35717,5,99,1
35781,5,99,1
35844,6,99,1
35909,6,99,1
35970,6,99,1
36032,6,99,1
36096,6,99,1
36157,6,99,1
36220,6,99,1
36285,7,99,1
36346,7,99,1
36409,7,99,1
36531,7,99,1
36583,7,99,1
36645,7,99,1
36707,7,99,1
36771,7,99,1
36835,7,99,1
36897,7,99,1
36962,7,99,1
37026,7,99,1
37087,7,99,1
37151,7,99,1
37214,7,99,1
37278,7,99,1
37341,7,99,1
37404,7,99,1
37467,7,99,1
37531,7,99,1
37594,7,99,1
37657,7,99,1
37722,7,99,1
37785,7,99,1
37848,8,99,1
37912,8,99,1
37980,8,99,1
38040,8,99,1
38104,8,99,1
38165,6,99,1
38229,6,99,1
38291,6,99,1
38353,6,99,1
38416,6,99,1
38483,7,99,1
38545,7,99,1
38608,7,99,1
38672,7,99,1
38736,7,99,1
38798,7,99,1
38863,6,99,1
38926,6,99,1
38989,6,99,1
39053,6,99,1
39116,6,99,1
39180,6,99,1
39244,6,99,1
39305,6,99,1
39373,6,99,1
39432,6,99,1
39494,6,99,1
39557,6,99,1
39621,6,99,1
39684,6,99,1
39746,6,99,1
39810,5,99,1
39874,5,99,1
39937,5,99,1
40000,5,99,1
40063,5,99,1
40126,5,99,1
40189,5,99,1
40254,5,99,1
40318,5,99,1
40380,5,99,1
40442,5,99,1
40508,5,99,1
40570,5,99,1
40634,5,99,1
40696,5,99,1
40757,5,99,1
40821,5,99,1
40885,5,99,1
40947,5,99,1
41011,5,99,1
41075,6,99,1
41139,5,98,2
41202,5,98,2
41267,6,98,2
41329,6,98,2
41391,6,98,2
41453,6,98,2
41520,7,98,2
41582,7,98,2
41645,7,98,2
41709,8,98,2
41772,8,98,2
41839,8,98,2
41907,7,98,2
41963,7,98,2
42025,7,98,2
42091,6,98,2
42154,6,98,2
42215,6,98,2
42279,6,98,2
42343,6,98,2
42406,6,98,2
42470,6,98,2
42533,6,98,2
42598,6,98,2
42673,6,98,2
42740,6,98,2
42823,6,98,2
42881,7,98,2
42943,7,98,2
43009,7,98,2
43071,5,98,2
43133,5,98,2
43197,5,98,2
43259,5,98,2
43322,5,98,2
43391,5,98,2
43451,5,98,2
43514,5,98,2
43576,5,98,2
43639,5,98,2
43721,5,98,2
43782,5,98,2
43849,5,98,2
43912,5,98,2
43973,5,98,2
44036,5,98,2
44099,5,98,2
44162,5,98,2
44226,5,98,2
44289,5,98,2
44354,5,98,2
44416,5,98,2
44481,5,98,2
44547,5,98,2
44610,5,98,2
44673,4,98,2
44738,4,98,2
44799,4,98,2
44863,4,98,2
44926,4,98,2
44998,4,98,2
45052,4,98,2
45114,4,98,2
